goid,gid
GO:0008270,ATCC64974_29340-T1
GO:0003677,ATCC64974_29340-T1
GO:0006351,ATCC64974_29340-T1
GO:0005515,ATCC64974_22480-T1
GO:0055085,ATCC64974_26990-T1
GO:0022857,ATCC64974_26990-T1
GO:0016020,ATCC64974_26990-T1
GO:0046983,ATCC64974_27160-T1
GO:0000723,ATCC64974_27790-T1
GO:0000784,ATCC64974_27790-T1
GO:0003677,ATCC64974_27790-T1
GO:0043047,ATCC64974_27790-T1
GO:0006351,ATCC64974_21260-T1
GO:0005515,ATCC64974_23540-T1
GO:0051287,ATCC64974_25670-T1
GO:0016616,ATCC64974_25670-T1
GO:0055114,ATCC64974_25670-T1
GO:0008171,ATCC64974_28780-T1
GO:0016747,ATCC64974_23950-T1
GO:0003824,ATCC64974_23950-T1
GO:0071949,ATCC64974_27310-T1
GO:0003721,ATCC64974_24440-T1
GO:0003677,ATCC64974_24440-T1
GO:0003964,ATCC64974_24440-T1
GO:0016787,ATCC64974_23380-T1
GO:0009166,ATCC64974_23380-T1
GO:0005634,ATCC64974_23450-T1
GO:0032968,ATCC64974_23450-T1
GO:0006367,ATCC64974_23450-T1
GO:0003677,ATCC64974_23450-T1
GO:0016829,ATCC64974_29580-T1
GO:0003824,ATCC64974_29580-T1
GO:0022857,ATCC64974_30250-T1
GO:0055085,ATCC64974_30250-T1
GO:0035023,ATCC64974_24450-T1
GO:0005089,ATCC64974_24450-T1
GO:0005737,ATCC64974_24450-T1
GO:0005515,ATCC64974_24450-T1
GO:0035556,ATCC64974_24450-T1
GO:0005085,ATCC64974_24450-T1
GO:0004521,ATCC64974_27380-T1
GO:0003723,ATCC64974_27380-T1
GO:0004540,ATCC64974_27380-T1
GO:0005524,ATCC64974_27930-T1
GO:0016226,ATCC64974_27930-T1
GO:0051536,ATCC64974_27930-T1
GO:0051539,ATCC64974_27930-T1
GO:0016612,ATCC64974_27930-T1
GO:0055114,ATCC64974_27930-T1
GO:0016163,ATCC64974_27930-T1
GO:0009399,ATCC64974_27930-T1
GO:0016491,ATCC64974_23090-T1
GO:0055114,ATCC64974_23090-T1
GO:0050661,ATCC64974_23090-T1
GO:0051287,ATCC64974_23090-T1
GO:0005515,ATCC64974_25580-T1
GO:0003824,ATCC64974_21590-T1
GO:0016491,ATCC64974_21590-T1
GO:0055114,ATCC64974_21590-T1
GO:0010181,ATCC64974_21590-T1
GO:0055114,ATCC64974_27010-T1
GO:0016491,ATCC64974_27010-T1
GO:0016491,ATCC64974_29490-T1
GO:0055114,ATCC64974_29490-T1
GO:0010181,ATCC64974_22240-T1
GO:0055114,ATCC64974_22240-T1
GO:0016491,ATCC64974_22240-T1
GO:0003824,ATCC64974_22240-T1
GO:0003774,ATCC64974_29390-T1
GO:0016459,ATCC64974_29390-T1
GO:0005524,ATCC64974_29390-T1
GO:0005515,ATCC64974_29390-T1
GO:0020037,ATCC64974_29750-T1
GO:0055114,ATCC64974_29750-T1
GO:0016705,ATCC64974_29750-T1
GO:0005506,ATCC64974_29750-T1
GO:0055085,ATCC64974_23740-T1
GO:0016021,ATCC64974_23740-T1
GO:0006807,ATCC64974_27820-T1
GO:0016151,ATCC64974_27820-T1
GO:0032324,ATCC64974_28390-T1
GO:0006777,ATCC64974_28390-T1
GO:0055114,ATCC64974_30300-T1
GO:0016616,ATCC64974_30300-T1
GO:0003854,ATCC64974_30300-T1
GO:0006694,ATCC64974_30300-T1
GO:0003824,ATCC64974_25480-T1
GO:0050660,ATCC64974_25100-T1
GO:0055114,ATCC64974_25100-T1
GO:0016614,ATCC64974_25100-T1
GO:0009116,ATCC64974_28910-T1
GO:0003824,ATCC64974_28910-T1
GO:0043531,ATCC64974_28910-T1
