DOWN,UP
ATCC64974_32430-T1,ATCC64974_14520-T1
ATCC64974_89410-T1,ATCC64974_4880-T1
ATCC64974_9500-T1,ATCC64974_99640-T1
ATCC64974_74920-T1,ATCC64974_30750-T1
ATCC64974_16620-T1,ATCC64974_50050-T1
ATCC64974_80800-T1,ATCC64974_82650-T1
ATCC64974_102140-T1,ATCC64974_67100-T1
ATCC64974_42010-T1,ATCC64974_98050-T1
ATCC64974_47790-T1,ATCC64974_85720-T1
ATCC64974_15600-T1,ATCC64974_49060-T1
ATCC64974_27140-T1,ATCC64974_21260-T1
ATCC64974_18200-T1,ATCC64974_81060-T1
ATCC64974_80900-T1,ATCC64974_60220-T1
ATCC64974_33760-T1,ATCC64974_75520-T1
ATCC64974_47750-T1,ATCC64974_80460-T1
ATCC64974_54230-T1,ATCC64974_16670-T1
ATCC64974_42520-T1,ATCC64974_2930-T1
ATCC64974_59660-T1,ATCC64974_29130-T1
ATCC64974_27310-T1,ATCC64974_69100-T1
ATCC64974_13330-T1,ATCC64974_70140-T1
ATCC64974_78310-T1,ATCC64974_51530-T1
ATCC64974_86210-T1,ATCC64974_17620-T1
ATCC64974_4390-T1,ATCC64974_70430-T1
ATCC64974_28650-T1,ATCC64974_109260-T1
ATCC64974_62670-T1,ATCC64974_4170-T1
ATCC64974_19040-T1,ATCC64974_108400-T1
ATCC64974_85070-T1,ATCC64974_76570-T1
ATCC64974_37790-T1,ATCC64974_32520-T1
ATCC64974_82390-T1,ATCC64974_50830-T1
ATCC64974_42680-T1,ATCC64974_63000-T1
ATCC64974_102550-T1,ATCC64974_26940-T1
ATCC64974_74850-T1,ATCC64974_44510-T1
ATCC64974_28310-T1,ATCC64974_54740-T1
ATCC64974_109770-T1,ATCC64974_17410-T1
ATCC64974_25010-T1,ATCC64974_58600-T1
ATCC64974_86430-T1,ATCC64974_16000-T1
ATCC64974_93220-T1,ATCC64974_109470-T1
ATCC64974_66950-T1,ATCC64974_85710-T1
ATCC64974_26930-T1,ATCC64974_60500-T1
ATCC64974_79340-T1,ATCC64974_52730-T1
ATCC64974_29590-T1,ATCC64974_107670-T1
ATCC64974_14090-T1,ATCC64974_53150-T1
ATCC64974_106770-T1,ATCC64974_31480-T1
ATCC64974_57920-T1,ATCC64974_106730-T1
ATCC64974_27030-T1,ATCC64974_15590-T1
ATCC64974_90260-T1,ATCC64974_78810-T1
ATCC64974_29270-T1,ATCC64974_77400-T1
ATCC64974_19630-T1,ATCC64974_57630-T1
ATCC64974_71800-T1,ATCC64974_110880-T1
ATCC64974_970-T1,ATCC64974_41740-T1
ATCC64974_1070-T1,ATCC64974_63950-T1
ATCC64974_58310-T1,ATCC64974_13130-T1
ATCC64974_15850-T1,ATCC64974_92360-T1
ATCC64974_33770-T1,ATCC64974_103140-T1
ATCC64974_89700-T1,ATCC64974_30860-T1
ATCC64974_13580-T1,ATCC64974_2710-T1
ATCC64974_34970-T1,ATCC64974_106250-T1
ATCC64974_89920-T1,ATCC64974_62990-T1
ATCC64974_25930-T1,ATCC64974_82060-T1
ATCC64974_92460-T1,ATCC64974_47100-T1
ATCC64974_70770-T1,ATCC64974_47830-T1
ATCC64974_20310-T1,ATCC64974_33740-T1
ATCC64974_44020-T1,ATCC64974_94750-T1
ATCC64974_25420-T1,ATCC64974_55700-T1
ATCC64974_24240-T1,ATCC64974_104970-T1
ATCC64974_32180-T1,ATCC64974_27530-T1
ATCC64974_111600-T1,ATCC64974_17260-T1
ATCC64974_43510-T1,ATCC64974_67660-T1
ATCC64974_59070-T1,ATCC64974_51620-T1
ATCC64974_110540-T1,ATCC64974_85240-T1
ATCC64974_100240-T1,ATCC64974_16650-T1
ATCC64974_31030-T1,ATCC64974_106520-T1
ATCC64974_36550-T1,ATCC64974_8360-T1
ATCC64974_3760-T1,ATCC64974_52910-T1
ATCC64974_32540-T1,ATCC64974_56680-T1
ATCC64974_105320-T1,ATCC64974_82710-T1
ATCC64974_45570-T1,ATCC64974_44850-T1
ATCC64974_42880-T1,ATCC64974_27840-T1
ATCC64974_20530-T1,ATCC64974_75320-T1
ATCC64974_13340-T1,ATCC64974_55000-T1
ATCC64974_12600-T1,ATCC64974_65070-T1
ATCC64974_43190-T1,ATCC64974_51140-T1
ATCC64974_7270-T1,ATCC64974_86000-T1
ATCC64974_55300-T1,ATCC64974_65150-T1
ATCC64974_47260-T1,ATCC64974_17520-T1
ATCC64974_10290-T1,ATCC64974_88860-T1
ATCC64974_63590-T1,ATCC64974_21670-T1
ATCC64974_11810-T1,ATCC64974_60270-T1
ATCC64974_84030-T1,ATCC64974_3340-T1
ATCC64974_94290-T1,ATCC64974_55790-T1
ATCC64974_27300-T1,ATCC64974_103620-T1
ATCC64974_3290-T1,ATCC64974_46390-T1
ATCC64974_63440-T1,ATCC64974_23510-T1
ATCC64974_25830-T1,ATCC64974_27590-T1
ATCC64974_15890-T1,ATCC64974_67170-T1
ATCC64974_63820-T1,ATCC64974_83220-T1
ATCC64974_28960-T1,ATCC64974_32120-T1
ATCC64974_96780-T1,ATCC64974_23120-T1
ATCC64974_48880-T1,ATCC64974_34100-T1
ATCC64974_107250-T1,ATCC64974_76480-T1
ATCC64974_102670-T1,ATCC64974_103680-T1
ATCC64974_66830-T1,ATCC64974_32100-T1
ATCC64974_46300-T1,ATCC64974_77610-T1
ATCC64974_36440-T1,ATCC64974_95460-T1
ATCC64974_43670-T1,ATCC64974_49540-T1
ATCC64974_29660-T1,ATCC64974_11070-T1
ATCC64974_67080-T1,ATCC64974_41980-T1
ATCC64974_100790-T1,ATCC64974_10510-T1
ATCC64974_82480-T1,ATCC64974_55360-T1
ATCC64974_110350-T1,ATCC64974_73520-T1
ATCC64974_14150-T1,ATCC64974_15390-T1
ATCC64974_68140-T1,ATCC64974_50520-T1
ATCC64974_33660-T1,ATCC64974_63960-T1
ATCC64974_1590-T1,ATCC64974_4480-T1
ATCC64974_48060-T1,ATCC64974_102570-T1
ATCC64974_8380-T1,ATCC64974_102830-T1
ATCC64974_21180-T1,ATCC64974_20640-T1
ATCC64974_24470-T1,ATCC64974_34550-T1
ATCC64974_27620-T1,ATCC64974_14750-T1
ATCC64974_89780-T1,ATCC64974_87900-T1
ATCC64974_111450-T1,ATCC64974_68580-T1
ATCC64974_98860-T1,ATCC64974_89840-T1
ATCC64974_25080-T1,ATCC64974_2660-T1
ATCC64974_75530-T1,ATCC64974_23570-T1
ATCC64974_68640-T1,ATCC64974_45480-T1
ATCC64974_51720-T1,ATCC64974_20070-T1
,ATCC64974_36280-T1
,ATCC64974_8060-T1
,ATCC64974_110390-T1
,ATCC64974_68540-T1
,ATCC64974_45640-T1
,ATCC64974_104930-T1
,ATCC64974_62980-T1
,ATCC64974_2050-T1
,ATCC64974_20910-T1
,ATCC64974_20880-T1
,ATCC64974_110680-T1
,ATCC64974_20420-T1
,ATCC64974_36470-T1
,ATCC64974_60150-T1
,ATCC64974_13230-T1
,ATCC64974_45710-T1
,ATCC64974_10960-T1
,ATCC64974_39030-T1
,ATCC64974_20410-T1
,ATCC64974_74390-T1
,ATCC64974_24420-T1
,ATCC64974_8300-T1
,ATCC64974_107390-T1
,ATCC64974_39000-T1
,ATCC64974_96650-T1
,ATCC64974_48180-T1
,ATCC64974_30080-T1
,ATCC64974_52450-T1
,ATCC64974_49830-T1
,ATCC64974_66650-T1
,ATCC64974_5400-T1
,ATCC64974_77500-T1
,ATCC64974_34730-T1
,ATCC64974_58490-T1
,ATCC64974_89670-T1
,ATCC64974_83120-T1
,ATCC64974_15360-T1
,ATCC64974_15560-T1
,ATCC64974_98370-T1
,ATCC64974_62140-T1
,ATCC64974_65650-T1
,ATCC64974_82450-T1
,ATCC64974_16870-T1
,ATCC64974_54650-T1
,ATCC64974_53560-T1
,ATCC64974_5130-T1
,ATCC64974_47840-T1
,ATCC64974_80680-T1
,ATCC64974_48330-T1
,ATCC64974_105090-T1
,ATCC64974_9190-T1
,ATCC64974_76250-T1
,ATCC64974_66310-T1
,ATCC64974_68550-T1
,ATCC64974_70300-T1
,ATCC64974_8210-T1
,ATCC64974_68520-T1
,ATCC64974_109270-T1
,ATCC64974_15740-T1
,ATCC64974_2170-T1
,ATCC64974_54390-T1
,ATCC64974_14710-T1
,ATCC64974_27980-T1
,ATCC64974_23910-T1
,ATCC64974_6080-T1
,ATCC64974_13290-T1
,ATCC64974_96200-T1
,ATCC64974_60280-T1
,ATCC64974_66570-T1
,ATCC64974_62300-T1
,ATCC64974_110100-T1
,ATCC64974_22280-T1
,ATCC64974_18510-T1
,ATCC64974_23430-T1
,ATCC64974_71520-T1
,ATCC64974_107570-T1
,ATCC64974_26950-T1
,ATCC64974_32840-T1
,ATCC64974_100670-T1
,ATCC64974_52030-T1
,ATCC64974_98410-T1
,ATCC64974_85230-T1
,ATCC64974_45370-T1
,ATCC64974_32140-T1
,ATCC64974_22800-T1
,ATCC64974_10480-T1
,ATCC64974_102250-T1
,ATCC64974_92540-T1
,ATCC64974_34150-T1
,ATCC64974_78820-T1
,ATCC64974_17500-T1
,ATCC64974_5690-T1
,ATCC64974_19840-T1
,ATCC64974_40030-T1
,ATCC64974_56370-T1
,ATCC64974_79400-T1
,ATCC64974_94540-T1
,ATCC64974_64150-T1
,ATCC64974_12570-T1
,ATCC64974_100960-T1
,ATCC64974_96470-T1
,ATCC64974_39230-T1
,ATCC64974_78000-T1
,ATCC64974_53470-T1
,ATCC64974_57030-T1
,ATCC64974_33750-T1
,ATCC64974_110400-T1
,ATCC64974_44690-T1
,ATCC64974_47950-T1
,ATCC64974_44820-T1
,ATCC64974_68530-T1
,ATCC64974_70730-T1
,ATCC64974_25120-T1
,ATCC64974_31290-T1
,ATCC64974_18950-T1
,ATCC64974_49840-T1
,ATCC64974_20510-T1
,ATCC64974_53270-T1
,ATCC64974_350-T1
,ATCC64974_36690-T1
,ATCC64974_77970-T1
,ATCC64974_44980-T1
,ATCC64974_106480-T1
,ATCC64974_32270-T1
,ATCC64974_88460-T1
,ATCC64974_76830-T1
,ATCC64974_36880-T1
,ATCC64974_39350-T1
,ATCC64974_57980-T1
,ATCC64974_61630-T1
,ATCC64974_97600-T1
,ATCC64974_25490-T1
,ATCC64974_2190-T1
,ATCC64974_32780-T1
,ATCC64974_8920-T1
,ATCC64974_8180-T1
,ATCC64974_64960-T1
,ATCC64974_96170-T1
,ATCC64974_55240-T1
,ATCC64974_99450-T1
,ATCC64974_12890-T1
,ATCC64974_23440-T1
,ATCC64974_62040-T1
,ATCC64974_95670-T1
,ATCC64974_21230-T1
,ATCC64974_81260-T1
,ATCC64974_33170-T1
,ATCC64974_76770-T1
,ATCC64974_41840-T1
,ATCC64974_85310-T1
,ATCC64974_21600-T1
,ATCC64974_53380-T1
,ATCC64974_68440-T1
,ATCC64974_52210-T1
,ATCC64974_70990-T1
,ATCC64974_12930-T1
,ATCC64974_24110-T1
,ATCC64974_53390-T1
,ATCC64974_107770-T1
,ATCC64974_57450-T1
,ATCC64974_83830-T1
,ATCC64974_20670-T1
,ATCC64974_37330-T1
,ATCC64974_51630-T1
,ATCC64974_77940-T1
,ATCC64974_94990-T1
,ATCC64974_31800-T1
,ATCC64974_1630-T1
,ATCC64974_63410-T1
,ATCC64974_94080-T1
,ATCC64974_29310-T1
,ATCC64974_1670-T1
,ATCC64974_92160-T1
,ATCC64974_108570-T1
,ATCC64974_18880-T1
,ATCC64974_87430-T1
,ATCC64974_104950-T1
,ATCC64974_1620-T1
,ATCC64974_4100-T1
,ATCC64974_88390-T1
,ATCC64974_6670-T1
,ATCC64974_73060-T1
,ATCC64974_23180-T1
,ATCC64974_27630-T1
,ATCC64974_94140-T1
,ATCC64974_38490-T1
,ATCC64974_72680-T1
,ATCC64974_18310-T1
,ATCC64974_66910-T1
,ATCC64974_20710-T1
,ATCC64974_77900-T1
,ATCC64974_2220-T1
,ATCC64974_104120-T1
,ATCC64974_104800-T1
,ATCC64974_86150-T1
,ATCC64974_39040-T1
,ATCC64974_90510-T1
,ATCC64974_45440-T1
,ATCC64974_68450-T1
,ATCC64974_87040-T1
,ATCC64974_76430-T1
,ATCC64974_42130-T1
,ATCC64974_99400-T1
,ATCC64974_104530-T1
,ATCC64974_34170-T1
,ATCC64974_47940-T1
,ATCC64974_51190-T1
,ATCC64974_48990-T1
,ATCC64974_75810-T1
,ATCC64974_86010-T1
,ATCC64974_3200-T1
,ATCC64974_13570-T1
,ATCC64974_95370-T1
,ATCC64974_57280-T1
,ATCC64974_85290-T1
,ATCC64974_107700-T1
,ATCC64974_40040-T1
,ATCC64974_52680-T1
,ATCC64974_78530-T1
,ATCC64974_101720-T1
,ATCC64974_108390-T1
,ATCC64974_13560-T1
,ATCC64974_78040-T1
,ATCC64974_86620-T1
,ATCC64974_103700-T1
,ATCC64974_66140-T1
,ATCC64974_22810-T1
,ATCC64974_68510-T1
,ATCC64974_31500-T1
,ATCC64974_23420-T1
,ATCC64974_41350-T1
,ATCC64974_101210-T1
,ATCC64974_108540-T1
,ATCC64974_22080-T1
,ATCC64974_104330-T1
,ATCC64974_74720-T1
,ATCC64974_49250-T1
,ATCC64974_23340-T1
,ATCC64974_62330-T1
,ATCC64974_39330-T1
,ATCC64974_61670-T1
,ATCC64974_1430-T1
,ATCC64974_25920-T1
,ATCC64974_91870-T1
,ATCC64974_55120-T1
,ATCC64974_94820-T1
,ATCC64974_88030-T1
,ATCC64974_61750-T1
,ATCC64974_43770-T1
,ATCC64974_4680-T1
,ATCC64974_107710-T1
,ATCC64974_55030-T1
,ATCC64974_81230-T1
,ATCC64974_89330-T1
,ATCC64974_88340-T1
,ATCC64974_51320-T1
,ATCC64974_19590-T1
,ATCC64974_47000-T1
,ATCC64974_90910-T1
,ATCC64974_58040-T1
,ATCC64974_91300-T1
,ATCC64974_32280-T1
,ATCC64974_70590-T1
,ATCC64974_18320-T1
,ATCC64974_30590-T1
,ATCC64974_110410-T1
,ATCC64974_65850-T1
,ATCC64974_61610-T1
,ATCC64974_72620-T1
,ATCC64974_92890-T1
,ATCC64974_39450-T1
,ATCC64974_18900-T1
,ATCC64974_83710-T1
,ATCC64974_47240-T1
,ATCC64974_32160-T1
,ATCC64974_20060-T1
,ATCC64974_87350-T1
,ATCC64974_290-T1
,ATCC64974_103040-T1
,ATCC64974_71900-T1
,ATCC64974_100940-T1
,ATCC64974_45090-T1
,ATCC64974_105900-T1
,ATCC64974_8050-T1
,ATCC64974_49560-T1
,ATCC64974_71880-T1
,ATCC64974_100390-T1
,ATCC64974_69140-T1
,ATCC64974_68590-T1
,ATCC64974_67570-T1
,ATCC64974_79520-T1
,ATCC64974_25480-T1
,ATCC64974_24320-T1
,ATCC64974_10330-T1
,ATCC64974_66790-T1
,ATCC64974_60490-T1
,ATCC64974_78610-T1
,ATCC64974_14800-T1
,ATCC64974_58770-T1
,ATCC64974_12990-T1
,ATCC64974_65390-T1
,ATCC64974_27850-T1
,ATCC64974_68400-T1
,ATCC64974_103830-T1
,ATCC64974_16060-T1
,ATCC64974_66440-T1
,ATCC64974_90490-T1
,ATCC64974_90770-T1
,ATCC64974_94130-T1
,ATCC64974_28340-T1
,ATCC64974_91970-T1
,ATCC64974_65310-T1
,ATCC64974_51300-T1
,ATCC64974_21330-T1
,ATCC64974_101150-T1
,ATCC64974_91630-T1
,ATCC64974_76870-T1
,ATCC64974_91370-T1
,ATCC64974_23190-T1
,ATCC64974_67810-T1
,ATCC64974_33130-T1
,ATCC64974_67090-T1
,ATCC64974_3210-T1
,ATCC64974_2140-T1
,ATCC64974_104450-T1
,ATCC64974_96990-T1
,ATCC64974_24890-T1
,ATCC64974_96710-T1
,ATCC64974_104830-T1
,ATCC64974_40010-T1
,ATCC64974_15020-T1
,ATCC64974_22550-T1
,ATCC64974_68690-T1
,ATCC64974_85350-T1
,ATCC64974_20080-T1
,ATCC64974_15350-T1
,ATCC64974_14980-T1
,ATCC64974_64000-T1
,ATCC64974_34960-T1
,ATCC64974_111010-T1
,ATCC64974_26170-T1
,ATCC64974_29710-T1
,ATCC64974_41050-T1
,ATCC64974_83580-T1
,ATCC64974_83110-T1
,ATCC64974_33550-T1
,ATCC64974_33510-T1
,ATCC64974_33520-T1
,ATCC64974_111000-T1
,ATCC64974_14180-T1
,ATCC64974_89460-T1
,ATCC64974_94800-T1
,ATCC64974_10410-T1
,ATCC64974_33530-T1
,ATCC64974_1640-T1
,ATCC64974_29320-T1
,ATCC64974_63710-T1
,ATCC64974_14490-T1
,ATCC64974_71890-T1
,ATCC64974_83160-T1
,ATCC64974_63750-T1
,ATCC64974_89230-T1
,ATCC64974_37230-T1
,ATCC64974_68060-T1
,ATCC64974_52660-T1
,ATCC64974_93710-T1
,ATCC64974_22790-T1
,ATCC64974_7420-T1
,ATCC64974_2380-T1
,ATCC64974_110970-T1
,ATCC64974_2150-T1
,ATCC64974_42950-T1
,ATCC64974_75350-T1
,ATCC64974_110920-T1
,ATCC64974_34010-T1
,ATCC64974_83150-T1
,ATCC64974_40800-T1
,ATCC64974_91950-T1
,ATCC64974_6040-T1
